case_id,red_speed,red_tr,red_br,blue_tr,blue_br,red_total,blue_total,diff,winner,red_transfer,red_tower,red_mustika,blue_transfer,blue_tower,blue_mustika,red_sanctuary_at,blue_sanctuary_at,red_mustika_at,blue_mustika_at,mustika_owner,red_complete_towers,blue_complete_towers,red_delivered_earth,red_delivered_sky,blue_delivered_earth,blue_delivered_sky
210,1/2,Earth先行補給,L2高得点寄せ,Earth先行補給,L2高得点寄せ,175,510,-335,blue,35,140,0,50,210,250,,137.8,,178,blue,1,2,5,2,7,3
211,1/2,Earth先行補給,L2高得点寄せ,Earth先行補給,共有エリア先取り,175,440,-265,blue,35,140,0,50,140,250,,135.2,,178.4,blue,1,2,5,2,7,3
212,1/2,Earth先行補給,L2高得点寄せ,Earth先行補給,スカイ反転圧力,175,440,-265,blue,35,140,0,50,140,250,,131.8,,175.8,blue,1,2,5,2,7,3
213,1/2,Earth先行補給,L2高得点寄せ,Sky先置き準備,L1最速サンクチュアリ,175,430,-255,blue,35,140,0,40,140,250,,133.2,,177.2,blue,1,2,5,2,5,3
214,1/2,Earth先行補給,L2高得点寄せ,Sky先置き準備,L2高得点寄せ,175,250,-75,blue,35,140,0,40,210,0,,143,,,,1,2,5,2,5,3
215,1/2,Earth先行補給,L2高得点寄せ,Sky先置き準備,共有エリア先取り,175,430,-255,blue,35,140,0,40,140,250,,135.6,,178.8,blue,1,2,5,2,5,3
216,1/2,Earth先行補給,L2高得点寄せ,Sky先置き準備,スカイ反転圧力,175,430,-255,blue,35,140,0,40,140,250,,133.2,,177.2,blue,1,2,5,2,5,3
217,1/2,Earth先行補給,共有エリア先取り,BR要求に追従,L1最速サンクチュアリ,105,180,-75,blue,35,70,0,40,140,0,,141.4,,,,1,2,5,2,5,3
218,1/2,Earth先行補給,共有エリア先取り,BR要求に追従,L2高得点寄せ,105,250,-145,blue,35,70,0,40,210,0,,150.2,,,,1,2,5,2,5,3
219,1/2,Earth先行補給,共有エリア先取り,BR要求に追従,共有エリア先取り,140,315,-175,blue,30,110,0,35,30,250,171.4,118.8,,162,blue,2,0,5,1,4,3
220,1/2,Earth先行補給,共有エリア先取り,BR要求に追従,スカイ反転圧力,105,180,-75,blue,35,70,0,40,140,0,,141.4,,,,1,2,5,2,5,3
221,1/2,Earth先行補給,共有エリア先取り,Earth先行補給,L1最速サンクチュアリ,105,440,-335,blue,35,70,0,50,140,250,,131.8,,175.8,blue,1,2,5,2,7,3
222,1/2,Earth先行補給,共有エリア先取り,Earth先行補給,L2高得点寄せ,105,510,-405,blue,35,70,0,50,210,250,,137.8,,178,blue,1,2,5,2,7,3
223,1/2,Earth先行補給,共有エリア先取り,Earth先行補給,共有エリア先取り,140,325,-185,blue,30,110,0,45,30,250,168.8,116.2,,159.4,blue,2,0,5,1,6,3
224,1/2,Earth先行補給,共有エリア先取り,Earth先行補給,スカイ反転圧力,105,440,-335,blue,35,70,0,50,140,250,,131.8,,175.8,blue,1,2,5,2,7,3
225,1/2,Earth先行補給,共有エリア先取り,Sky先置き準備,L1最速サンクチュアリ,105,430,-325,blue,35,70,0,40,140,250,,133.2,,177.2,blue,1,2,5,2,5,3
226,1/2,Earth先行補給,共有エリア先取り,Sky先置き準備,L2高得点寄せ,105,250,-145,blue,35,70,0,40,210,0,,143,,,,1,2,5,2,5,3
227,1/2,Earth先行補給,共有エリア先取り,Sky先置き準備,共有エリア先取り,140,340,-200,blue,30,110,0,40,50,250,163.2,110.6,,153.8,blue,2,0,5,1,5,3
228,1/2,Earth先行補給,共有エリア先取り,Sky先置き準備,スカイ反転圧力,105,430,-325,blue,35,70,0,40,140,250,,133.2,,177.2,blue,1,2,5,2,5,3
229,1/2,Earth先行補給,スカイ反転圧力,BR要求に追従,L1最速サンクチュアリ,105,180,-75,blue,35,70,0,40,140,0,,141.4,,,,1,2,5,2,5,3
230,1/2,Earth先行補給,スカイ反転圧力,BR要求に追従,L2高得点寄せ,105,250,-145,blue,35,70,0,40,210,0,,150.2,,,,1,2,5,2,5,3
231,1/2,Earth先行補給,スカイ反転圧力,BR要求に追従,共有エリア先取り,140,315,-175,blue,30,110,0,35,30,250,171.4,118.8,,162,blue,2,0,5,1,4,3
232,1/2,Earth先行補給,スカイ反転圧力,BR要求に追従,スカイ反転圧力,105,180,-75,blue,35,70,0,40,140,0,,141.4,,,,1,2,5,2,5,3
233,1/2,Earth先行補給,スカイ反転圧力,Earth先行補給,L1最速サンクチュアリ,105,440,-335,blue,35,70,0,50,140,250,,131.8,,175.8,blue,1,2,5,2,7,3
234,1/2,Earth先行補給,スカイ反転圧力,Earth先行補給,L2高得点寄せ,105,510,-405,blue,35,70,0,50,210,250,,137.8,,178,blue,1,2,5,2,7,3
235,1/2,Earth先行補給,スカイ反転圧力,Earth先行補給,共有エリア先取り,140,325,-185,blue,30,110,0,45,30,250,168.8,116.2,,159.4,blue,2,0,5,1,6,3
236,1/2,Earth先行補給,スカイ反転圧力,Earth先行補給,スカイ反転圧力,105,440,-335,blue,35,70,0,50,140,250,,131.8,,175.8,blue,1,2,5,2,7,3
237,1/2,Earth先行補給,スカイ反転圧力,Sky先置き準備,L1最速サンクチュアリ,105,430,-325,blue,35,70,0,40,140,250,,133.2,,177.2,blue,1,2,5,2,5,3
238,1/2,Earth先行補給,スカイ反転圧力,Sky先置き準備,L2高得点寄せ,105,250,-145,blue,35,70,0,40,210,0,,143,,,,1,2,5,2,5,3
239,1/2,Earth先行補給,スカイ反転圧力,Sky先置き準備,共有エリア先取り,140,340,-200,blue,30,110,0,40,50,250,163.2,110.6,,153.8,blue,2,0,5,1,5,3
240,1/2,Earth先行補給,スカイ反転圧力,Sky先置き準備,スカイ反転圧力,105,430,-325,blue,35,70,0,40,140,250,,133.2,,177.2,blue,1,2,5,2,5,3
241,1/2,Sky先置き準備,L1最速サンクチュアリ,BR要求に追従,L1最速サンクチュアリ,95,180,-85,blue,25,70,0,40,140,0,,141.4,,,,1,2,3,2,5,3
242,1/2,Sky先置き準備,L1最速サンクチュアリ,BR要求に追従,L2高得点寄せ,95,250,-155,blue,25,70,0,40,210,0,,150.2,,,,1,2,3,2,5,3
243,1/2,Sky先置き準備,L1最速サンクチュアリ,BR要求に追従,共有エリア先取り,70,375,-305,blue,20,50,0,35,90,250,,118.8,,162,blue,1,1,3,1,4,3
244,1/2,Sky先置き準備,L1最速サンクチュアリ,BR要求に追従,スカイ反転圧力,95,180,-85,blue,25,70,0,40,140,0,,141.4,,,,1,2,3,2,5,3
245,1/2,Sky先置き準備,L1最速サンクチュアリ,Earth先行補給,L1最速サンクチュアリ,95,440,-345,blue,25,70,0,50,140,250,,131.8,,175.8,blue,1,2,3,2,7,3
246,1/2,Sky先置き準備,L1最速サンクチュアリ,Earth先行補給,L2高得点寄せ,95,510,-415,blue,25,70,0,50,210,250,,137.8,,178,blue,1,2,3,2,7,3
247,1/2,Sky先置き準備,L1最速サンクチュアリ,Earth先行補給,共有エリア先取り,70,385,-315,blue,20,50,0,45,90,250,,116.2,,159.4,blue,1,1,3,1,6,3
248,1/2,Sky先置き準備,L1最速サンクチュアリ,Earth先行補給,スカイ反転圧力,95,440,-345,blue,25,70,0,50,140,250,,131.8,,175.8,blue,1,2,3,2,7,3
249,1/2,Sky先置き準備,L1最速サンクチュアリ,Sky先置き準備,L1最速サンクチュアリ,95,430,-335,blue,25,70,0,40,140,250,,133.2,,177.2,blue,1,2,3,2,5,3
250,1/2,Sky先置き準備,L1最速サンクチュアリ,Sky先置き準備,L2高得点寄せ,95,250,-155,blue,25,70,0,40,210,0,,143,,,,1,2,3,2,5,3
